table,field,description
papers.csv,paper_id,
papers.csv,doi,
papers.csv,title,
papers.csv,journal,
papers.csv,publisher,
papers.csv,year,
papers.csv,material_system,
papers.csv,alloy_name,
papers.csv,process,
papers.csv,inclusion_status,
papers.csv,article_license,
papers.csv,license_url,
papers.csv,open_access_status,
papers.csv,image_redistribution_status,
figure_index.csv,figure_index_id,
figure_index.csv,paper_id,
figure_index.csv,doi,
figure_index.csv,figure_key,
figure_index.csv,figure_label,
figure_index.csv,figure_number,
figure_index.csv,panel_label,
figure_index.csv,page_number,
figure_index.csv,source_type,
figure_index.csv,modality_candidates,
figure_index.csv,image_region_candidates,
figure_index.csv,evidence_terms,
figure_index.csv,page_image_path,
figure_index.csv,crop_image_path,
figure_index.csv,crop_method,
figure_index.csv,caption_hash_sha256,
figure_index.csv,caption_excerpt,
figure_index.csv,license_status,
figure_index.csv,redistribution_status,
figure_index.csv,review_status,
figure_index.csv,confidence,
figure_index.csv,notes,
image_manifest.csv,image_id,
image_manifest.csv,figure_index_id,
image_manifest.csv,paper_id,
image_manifest.csv,doi,
image_manifest.csv,figure_label,
image_manifest.csv,panel_label,
image_manifest.csv,image_role,
image_manifest.csv,source_path,
image_manifest.csv,release_path,
image_manifest.csv,file_exists,
image_manifest.csv,sha256,
image_manifest.csv,crop_method,
image_manifest.csv,license_status,
image_manifest.csv,redistribution_status,
image_manifest.csv,review_status,
figure_specimen_links.csv,link_id,
figure_specimen_links.csv,figure_index_id,
figure_specimen_links.csv,paper_id,
figure_specimen_links.csv,doi,
figure_specimen_links.csv,figure_key,
figure_specimen_links.csv,figure_label,
figure_specimen_links.csv,panel_label,
figure_specimen_links.csv,modality,
figure_specimen_links.csv,specimen_id,
figure_specimen_links.csv,tensile_id,
figure_specimen_links.csv,link_basis,
figure_specimen_links.csv,confidence,
figure_specimen_links.csv,review_status,
multimodal_ml_database.csv,multimodal_id,
multimodal_ml_database.csv,paper_id,
multimodal_ml_database.csv,doi,
multimodal_ml_database.csv,figure_index_id,
multimodal_ml_database.csv,figure_key,
multimodal_ml_database.csv,figure_label,
multimodal_ml_database.csv,panel_label,
multimodal_ml_database.csv,modality,
multimodal_ml_database.csv,specimen_id,
multimodal_ml_database.csv,tensile_id,
multimodal_ml_database.csv,material_system,
multimodal_ml_database.csv,alloy_name,
multimodal_ml_database.csv,process,
multimodal_ml_database.csv,build_direction,
multimodal_ml_database.csv,heat_treatment,
multimodal_ml_database.csv,test_temperature_c,
multimodal_ml_database.csv,direction,
multimodal_ml_database.csv,yield_strength_mpa,
multimodal_ml_database.csv,ultimate_tensile_strength_mpa,
multimodal_ml_database.csv,elongation_pct,
multimodal_ml_database.csv,crop_image_path,
multimodal_ml_database.csv,source_locator,
multimodal_ml_database.csv,confidence,
multimodal_ml_database.csv,review_status,
review_queue.csv,review_id,
review_queue.csv,entity_type,
review_queue.csv,entity_id,
review_queue.csv,paper_id,
review_queue.csv,issue,
review_queue.csv,current_value,
review_queue.csv,recommended_action,
review_queue.csv,review_decision,
review_queue.csv,review_notes,
